course_name,duration,fee,mentor_name,mentor_company,mentor_designation,no_of_online_sessions,no_of_offline_sessions,realtime_project,students_enrolled,students_finished,students_placed_offer,average_package,placement_company,company_name,course_language,course_rating
Python AI,3 months,40000,Dr. Rahul Sharma,TechCorp,Senior AI Consultant,20,5,Yes,50,45,40,8.5 LPA,TechCorp,Infotech,English,4.7
Data Science,6 months,45000,Ms. Ananya Singh,DataCorp,Lead Data Scientist,25,5,Yes,120,100,80,7.5 LPA,InfoSoft,Infotech,English,4.8
Web Development,4 months,35000,Mr. Sameer Gupta,WebSolutions,Full Stack Developer,15,5,Yes,80,70,60,6.5 LPA,WebSolutions,Infotech,English,4.5
Machine Learning,5 months,50000,Dr. Priya Menon,AI Labs,AI Researcher,20,5,Yes,100,90,85,9 LPA,TechCorp,Infotech,English,4.9
Cloud Computing,4 months,42000,Mr. Arjun Rao,CloudNet,Cloud Architect,18,4,Yes,60,55,50,7 LPA,InfoSoft,Infotech,English,4.6
Cyber Security,3 months,38000,Ms. Kavita Sharma,SecureTech,Security Analyst,15,5,Yes,40,35,30,6.5 LPA,SecureTech,Infotech,English,4.4
Blockchain Development,6 months,48000,Mr. Rajesh Kumar,BlockWorks,Blockchain Developer,22,6,Yes,70,65,60,8 LPA,BlockWorks,Infotech,English,4.7
UI/UX Design,3 months,30000,Ms. Anjali Verma,DesignHub,Lead Designer,12,3,Yes,50,45,40,5.5 LPA,DesignHub,Infotech,English,4.3
Digital Marketing,2 months,25000,Mr. Nitin Joshi,MarketGuru,Marketing Specialist,10,2,Yes,80,75,70,4.5 LPA,MarketGuru,Infotech,English,4.2
Data Analytics,4 months,40000,Ms. Ritu Malhotra,DataCorp,Data Analyst,20,5,Yes,90,85,80,7 LPA,InfoSoft,Infotech,English,4.6
